country_code;year;researchers_per_million;renewable_energy_share_pct;;;;;;;;;;;;;;;;;;
CHN;2008;1201,11872;14,14;;;;;;;;;;;;;;;;;;
CHN;2009;863,44302;13,43;;;;;;;;;;;;;;;;;;
CHN;2010;901,12598;12,26;;;;;;;;;;;;;;;;;;
CHN;2011;974,42187;11,34;;;;;;;;;;;;;;;;;;
CHN;2012;1031,22366;11,53;;;;;;;;;;;;;;;;;;
CHN;2013;1081,96454;11,45;;;;;;;;;;;;;;;;;;
CHN;2014;1104,08308;11,94;;;;;;;;;;;;;;;;;;
CHN;2015;1164,94031;12,18;;;;;;;;;;;;;;;;;;
CHN;2016;1210,74113;12,56;;;;;;;;;;;;;;;;;;
CHN;2017;1237,74195;13,13;;;;;;;;;;;;;;;;;;
CHN;2018;1319,35596;13,71;;;;;;;;;;;;;;;;;;
CHN;2019;1485,81754;14,45;;;;;;;;;;;;;;;;;;
CRI;2003;131,8527;33,3;;;;;;;;;;;;;;;;;;
CRI;2004;108,74025;39,16;;;;;;;;;;;;;;;;;;
CRI;2005;122,95395;41,73;;;;;;;;;;;;;;;;;;
CRI;2008;260,57172;40,7;;;;;;;;;;;;;;;;;;
CRI;2009;338,63501;40,72;;;;;;;;;;;;;;;;;;
CRI;2010;380,55006;40,39;;;;;;;;;;;;;;;;;;
CRI;2011;404,63094;38,02;;;;;;;;;;;;;;;;;;
CRI;2012;335,76139;38,06;;;;;;;;;;;;;;;;;;
CRI;2013;353,44841;37,8;;;;;;;;;;;;;;;;;;
CRI;2014;565,72636;37,62;;;;;;;;;;;;;;;;;;
CRI;2015;493,01919;38,33;;;;;;;;;;;;;;;;;;
CRI;2016;523,11853;36,81;;;;;;;;;;;;;;;;;;
CRI;2017;378,87941;36,2;;;;;;;;;;;;;;;;;;
CRI;2018;343,77862;35,7;;;;;;;;;;;;;;;;;;
CYP;2000;438,81436;3,08;;;;;;;;;;;;;;;;;;
CYP;2001;477,38582;3,03;;;;;;;;;;;;;;;;;;
CYP;2002;616,5499;3,16;;;;;;;;;;;;;;;;;;
CYP;2003;686,54374;3,24;;;;;;;;;;;;;;;;;;
CYP;2004;806,48173;3,29;;;;;;;;;;;;;;;;;;
CYP;2005;930,33788;3,34;;;;;;;;;;;;;;;;;;
CYP;2006;1005,35878;3,5;;;;;;;;;;;;;;;;;;
CYP;2007;1054,20653;4,33;;;;;;;;;;;;;;;;;;
CYP;2008;1038,21427;5,47;;;;;;;;;;;;;;;;;;
CYP;2009;1095,4538;6,31;;;;;;;;;;;;;;;;;;
CYP;2010;1104,81725;6,55;;;;;;;;;;;;;;;;;;
CYP;2011;1091,99036;7,66;;;;;;;;;;;;;;;;;;
CYP;2012;1022,02872;8,69;;;;;;;;;;;;;;;;;;
CYP;2013;1026,70353;9,83;;;;;;;;;;;;;;;;;;
CYP;2014;1051,28205;9,59;;;;;;;;;;;;;;;;;;
CYP;2015;1010,61619;10,51;;;;;;;;;;;;;;;;;;
CYP;2016;1058,56405;10,36;;;;;;;;;;;;;;;;;;
CYP;2017;1209,63685;11,03;;;;;;;;;;;;;;;;;;
CYP;2018;1408,18017;12,11;;;;;;;;;;;;;;;;;;
CYP;2019;1657,72538;12,05;;;;;;;;;;;;;;;;;;
CZE;2000;1352,53863;5,94;;;;;;;;;;;;;;;;;;
CZE;2001;1465,30024;6,29;;;;;;;;;;;;;;;;;;
CZE;2002;1463,36019;7,28;;;;;;;;;;;;;;;;;;
CZE;2003;1543,28611;6,72;;;;;;;;;;;;;;;;;;
CZE;2004;1589,8471;7,13;;;;;;;;;;;;;;;;;;
CZE;2005;2353,4465;7,53;;;;;;;;;;;;;;;;;;
